"c_chave";"c_codprod";"c_descr"
"0000003722";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000003944";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004057";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004155";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004257";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004263";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004366";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004475";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004537";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000004558";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000003420";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000003550";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000003722";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000003944";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004057";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004155";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004257";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004263";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004366";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004475";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004537";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000004558";"00574";"MILHO DE PIPOCA TIPO 1 PCT 500G"
"0000003420";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000003550";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000003722";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000003944";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000004057";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000004155";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000004257";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000004263";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000004366";"00576";"VINAGRE ACIDO ACETICO 500ML"
"0000004475";"00576";"VINAGRE ACIDO ACETICO 500ML"
